Line 197:9 - IDENTIFIER (try)
Line 197:13 - LBRACE ({)
Line 198:13 - LET (let)
Line 198:17 - IDENTIFIER (result)
Line 198:24 - EQUAL (=)
Line 198:26 - IDENTIFIER (await)
Line 198:32 - IDENTIFIER (conn)
Line 198:36 - DOT (.)
Line 198:37 - IDENTIFIER (execute)
Line 198:44 - LPAREN (()
Line 198:45 - IDENTIFIER (sql)
Line 198:48 - RPAREN ())
Line 198:49 - SEMICOLON (;)
Line 199:13 - RETURN (return)
Line 199:20 - IDENTIFIER (Ok)
Line 199:22 - LPAREN (()
Line 199:23 - IDENTIFIER (result)
Line 199:29 - RPAREN ())
Line 199:30 - SEMICOLON (;)
Line 200:9 - RBRACE (})
Line 200:11 - IDENTIFIER (catch)
Line 200:17 - LPAREN (()
Line 200:18 - IDENTIFIER (e)
Line 200:19 - RPAREN ())
Line 200:21 - LBRACE ({)
Line 201:13 - RETURN (return)
Line 201:20 - IDENTIFIER (Err)
Line 201:23 - LPAREN (()
Line 201:24 - IDENTIFIER (e)
Line 201:25 - DOT (.)
Line 201:26 - IDENTIFIER (message)
Line 201:33 - RPAREN ())
Line 201:34 - SEMICOLON (;)
Line 202:9 - RBRACE (})
Line 203:5 - RBRACE (})
Line 204:1 - RBRACE (})
Line 206:1 - FUN (fun)
Line 206:5 - IDENTIFIER (main)
Line 206:9 - LPAREN (()
Line 206:10 - RPAREN ())
Line 206:12 - LBRACE ({)
Line 207:5 - LET (let)
Line 207:9 - IDENTIFIER (db)
Line 207:12 - EQUAL (=)
Line 207:14 - NEW (new)
Line 207:18 - IDENTIFIER (Database)
Line 207:26 - LPAREN (()
Line 207:27 - STRING_LIT ("localhost:5432")
Line 207:43 - RPAREN ())
Line 207:44 - SEMICOLON (;)
Line 208:5 - LET (let)
Line 208:9 - IDENTIFIER (result)
Line 208:16 - EQUAL (=)
Line 208:18 - IDENTIFIER (await)
Line 208:24 - IDENTIFIER (db)
Line 208:26 - DOT (.)
Line 208:27 - IDENTIFIER (query)
Line 208:32 - LPAREN (()
Line 208:33 - STRING_LIT ("SELECT * FROM users")
Line 208:54 - RPAREN ())
Line 208:55 - SEMICOLON (;)
Line 210:5 - IDENTIFIER (match)
Line 210:11 - LPAREN (()
Line 210:12 - IDENTIFIER (result)
Line 210:18 - RPAREN ())
Line 210:20 - LBRACE ({)
Line 211:9 - IDENTIFIER (Ok)
Line 211:11 - LPAREN (()
Line 211:12 - IDENTIFIER (data)
Line 211:16 - RPAREN ())
Line 211:18 - LAMBARROW (=>)
Line 211:21 - IDENTIFIER (IO)
Line 211:23 - DOT (.)
Line 211:24 - IDENTIFIER (print)
Line 211:29 - LPAREN (()
Line 211:30 - STRING_LIT ("Got ${data.length} rows")
Line 211:55 - RPAREN ())
Line 211:56 - COMMA (,)
Line 212:9 - IDENTIFIER (Err)
Line 212:12 - LPAREN (()
Line 212:13 - IDENTIFIER (msg)
Line 212:16 - RPAREN ())
Line 212:18 - LAMBARROW (=>)
Line 212:21 - IDENTIFIER (IO)
Line 212:23 - DOT (.)
Line 212:24 - IDENTIFIER (print)
Line 212:29 - LPAREN (()
Line 212:30 - STRING_LIT ("Error: ${msg}")
Line 212:45 - RPAREN ())
Line 213:5 - RBRACE (})
Line 214:1 - RBRACE (})
Line 217:1 - UNSAFE (unsafe)
Line 217:8 - LBRACE ({)
Line 218:5 - LET (let)
Line 218:9 - IDENTIFIER (ptr)
Line 218:13 - EQUAL (=)
Line 218:15 - IDENTIFIER (malloc)
Line 218:21 - LPAREN (()
Line 218:22 - INTEGER (10)
